2024-09-16 13:21:25 DEBUG config.ConfigKt - Cargando configuración DataBaseManager
2024-09-16 13:21:25 DEBUG config.ConfigKt - Configuración cargada correctamente
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Inicializando el gestor de Bases de Datos con SQLDelight
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Borrando tablas si existen
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Creando tablas
2024-09-16 13:21:25 DEBUG t.servicies.TenistasServiceImplKt - Cargando tenistas desde CSV
2024-09-16 13:21:25 DEBUG t.storage.TenistaStorageCSVKt - Carganado tenistas desde fichero Csv
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=67, nombre=Daniel Elahi Galan, pais=Colombia, altura=191, peso=75, puntos=150, mano=DIESTRO, fechaNacimiento=1996-06-18, created_at=2024-09-16T13:21:25.9065675, updated_at=2024-09-16T13:21:25.9065675)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=68, nombre=Juan Pablo Varillas, pais=Perú, altura=185, peso=78, puntos=100, mano=DIESTRO, fechaNacimiento=1995-10-06, created_at=2024-09-16T13:21:25.9076137, updated_at=2024-09-16T13:21:25.9076137)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=69, nombre=Roberto Carballes Baena, pais=España, altura=183, peso=76, puntos=90, mano=DIESTRO, fechaNacimiento=1993-03-23, created_at=2024-09-16T13:21:25.9076137, updated_at=2024-09-16T13:21:25.9076137)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=70, nombre=Facundo Bagnis, pais=Argentina, altura=183, peso=78, puntos=80, mano=ZURDO, fechaNacimiento=1990-02-27, created_at=2024-09-16T13:21:25.9076137, updated_at=2024-09-16T13:21:25.9076137)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=71, nombre=Salvatore Caruso, pais=Italia, altura=185, peso=80, puntos=70, mano=DIESTRO, fechaNacimiento=1992-12-15, created_at=2024-09-16T13:21:25.9076137, updated_at=2024-09-16T13:21:25.9076137)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=72, nombre=Ricardas Berankis, pais=Lituania, altura=175, peso=72, puntos=60, mano=DIESTRO, fechaNacimiento=1990-06-21, created_at=2024-09-16T13:21:25.9076137, updated_at=2024-09-16T13:21:25.9076137)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=73, nombre=Andrej Martin, pais=Eslovaquia, altura=183, peso=78, puntos=50, mano=DIESTRO, fechaNacimiento=1989-09-20, created_at=2024-09-16T13:21:25.9076137, updated_at=2024-09-16T13:21:25.9076137)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=74, nombre=Jaume Munar, pais=España, altura=183, peso=78, puntos=40, mano=DIESTRO, fechaNacimiento=1997-05-05, created_at=2024-09-16T13:21:25.9076137, updated_at=2024-09-16T13:21:25.9076137)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=75, nombre=Stefano Travaglia, pais=Italia, altura=185, peso=80, puntos=30, mano=DIESTRO, fechaNacimiento=1991-12-28, created_at=2024-09-16T13:21:25.9076137, updated_at=2024-09-16T13:21:25.9076137)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=76, nombre=Hugo Dellien, pais=Bolivia, altura=180, peso=77, puntos=20, mano=DIESTRO, fechaNacimiento=1993-06-16, created_at=2024-09-16T13:21:25.9076137, updated_at=2024-09-16T13:21:25.9086197)
